ID,Weight,Value,Shelf Life
1,148.37,390.0,2.08
2,52.53,387.51,4.52
3,53.18,471.58,4.19
4,53.94,426.96,2.42
5,74.25,430.85,5.61
6,124.84,319.76,4.41
7,110.83,359.83,3.93
8,94.69,390.04,4.7
9,126.94,398.84,1.75
10,63.42,499.71,2.27
11,54.84,229.75,1.07
12,63.75,357.11,4.94
13,85.57,395.82,1.05
14,132.54,254.19,4.6
15,75.67,471.98,2.22
16,126.33,310.93,5.7
17,55.17,317.01,5.14
18,59.12,402.05,2.51
19,62.95,264.05,1.5
20,94.1,374.27,2.36
21,80.52,295.47,5.58
22,82.47,276.09,2.78
23,92.8,345.22,3.35
24,107.49,437.9,3.06
25,90.89,398.52,1.25
26,82.25,361.9,5.59
27,88.16,228.55,2.69
28,105.34,404.14,4.75
29,114.4,213.9,2.74
30,61.47,478.22,1.41
31,64.21,323.97,4.13
32,99.22,350.59,4.55
33,124.66,329.98,3.78
34,106.75,469.55,3.21
35,124.57,225.54,2.8
36,106.39,229.33,1.51
37,76.76,219.58,1.62
38,50.03,413.77,5.48
39,123.45,424.91,2.71
40,139.61,353.5,1.35
41,91.41,474.79,5.11
42,126.37,289.22,4.04
43,59.46,288.78,4.22
44,142.61,374.88,4.71
45,54.18,317.76,1.75
46,55.39,464.6,1.77
47,141.02,290.42,1.45
48,106.65,404.5,3.5
49,58.11,405.94,5.71
50,98.65,269.07,3.4
51,101.19,457.2,3.28
52,103.84,416.64,2.34
53,59.88,297.06,2.25
54,118.77,467.7,3.76
55,146.95,403.75,1.21
56,133.92,333.7,4.05
57,139.76,227.12,2.5
58,84.61,290.01,5.61
59,123.78,481.42,2.53
60,147.25,323.66,1.52
61,139.4,348.37,2.6
62,79.79,285.68,1.93
63,55.63,479.11,1.1
64,92.81,375.85,5.01
65,128.22,481.87,2.85
66,146.63,309.9,4.72
67,129.93,399.2,3.97
68,135.27,415.35,4.82
69,67.03,205.96,2.75
70,70.1,372.4,3.84
71,113.61,349.11,4.65
72,121.46,269.32,5.31
73,143.65,404.62,4.75
74,127.26,216.37,5.68
75,106.74,460.07,4.17
76,146.15,237.95,5.67
77,54.98,445.69,4.91
78,54.65,309.36,3.45
79,114.49,429.64,3.71
80,117.58,222.49,3.0
81,104.72,362.68,5.43
82,54.71,292.7,2.59
83,102.71,467.11,5.71
84,84.67,243.91,5.15
85,82.43,210.44,3.31
86,140.16,295.53,5.56
87,145.51,429.69,5.53
88,69.68,379.16,2.89
89,130.16,358.52,2.06
90,56.88,235.9,4.6
91,117.51,268.05,2.73
92,64.34,344.95,2.2
93,81.08,304.96,4.4
94,86.74,465.84,4.41
95,68.07,349.69,4.03
96,60.31,244.88,2.33
97,95.77,245.92,4.74
98,105.22,207.87,5.32
99,125.04,426.38,4.56
100,122.45,247.38,1.54
