ID,Weight,Value,Shelf Life
1,86.69,393.56,4.92
2,89.06,267.58,2.89
3,51.78,413.65,2.28
4,122.78,205.91,1.67
5,119.3,322.12,1.61
6,149.41,486.02,2.46
7,99.24,234.74,1.95
8,136.99,381.1,2.98
9,60.3,464.52,5.18
10,100.17,366.14,4.03
11,71.94,252.7,2.22
12,55.41,454.74,5.42
13,55.75,448.52,4.37
14,71.23,225.67,3.57
15,98.49,398.15,5.97
16,102.02,442.35,3.95
17,117.56,210.95,2.57
18,74.16,284.42,1.86
19,130.92,250.2,2.82
20,92.04,352.28,3.85
21,113.4,388.16,2.45
22,110.68,446.69,5.83
23,76.08,326.5,2.61
24,87.3,221.41,3.31
25,70.62,259.95,1.81
26,89.41,374.0,1.26
27,71.47,306.1,4.56
28,78.64,389.12,5.34
29,91.47,267.31,5.39
30,94.83,489.91,4.08
31,66.65,421.16,2.08
32,122.62,243.01,5.36
33,132.57,378.69,2.26
34,86.29,238.55,2.27
35,92.98,214.68,4.76
36,139.42,454.89,1.29
37,144.63,463.82,4.82
38,139.12,322.13,4.36
39,125.33,312.71,4.07
40,136.73,485.14,4.3
41,131.84,238.11,2.28
42,106.9,366.36,5.95
43,86.52,325.14,3.44
44,61.22,359.81,1.12
45,55.29,337.71,3.42
46,131.66,480.06,5.5
47,73.87,245.55,3.86
48,64.84,422.82,1.56
49,106.78,350.67,3.93
50,67.36,312.0,1.21
51,139.46,220.69,3.18
52,139.37,467.77,3.46
53,137.05,450.12,5.67
54,56.78,390.09,3.14
55,116.03,338.48,4.04
56,146.16,366.73,3.53
57,68.61,288.56,4.43
58,63.74,378.77,1.57
59,51.96,394.99,1.7
60,139.17,434.85,5.55
61,144.09,390.55,1.12
62,134.18,350.13,2.79
63,96.0,396.38,3.8
64,108.11,472.1,4.03
65,76.59,294.76,1.4
66,81.98,315.68,2.18
67,91.24,495.85,3.54
68,55.34,473.6,2.8
69,95.67,228.79,5.26
70,84.09,340.14,4.32
71,137.68,486.04,3.08
72,131.76,416.39,3.64
73,74.26,319.7,5.59
74,119.43,293.24,5.45
75,78.46,220.75,2.85
76,90.41,226.34,1.15
77,67.45,284.54,2.26
78,108.5,358.38,3.84
79,116.87,477.51,2.13
80,82.76,384.34,5.34
81,58.18,321.61,3.43
82,132.75,446.75,3.13
83,130.14,416.73,3.48
84,56.36,208.95,3.84
85,136.71,400.83,5.06
86,119.94,444.85,3.2
87,79.92,228.76,5.06
88,120.08,302.23,4.64
89,93.75,305.83,4.78
90,70.48,304.0,3.12
91,80.64,345.39,1.32
92,61.52,381.25,1.79
93,71.3,340.39,3.67
94,82.79,421.4,3.21
95,111.39,369.58,2.81
96,120.34,271.98,3.56
97,52.18,413.45,3.94
98,149.39,259.61,1.06
99,119.82,480.67,1.44
100,80.66,346.45,4.44
